document_id,label,probability
9700002943,111,0.0006
9700002931,111,0.0044
9700002931,112,0.0013
9700002931,113,0.0005
9700002931,114,0.0017
9700002931,115,0.0006
9700002931,211,0.0005
9700002931,212,0.0008
9700002931,213,0.0009
9700002931,221,0.0037
9700002931,236,0.0004
9700002931,237,0.0006
9700002931,238,0.0009
9700002931,311,0.0005
9700002931,312,0.0014
9700002931,313,0.0034
9700002931,314,0.0026
9700002872,111,0.0014
9700002872,112,0.0002
9700002872,113,0.0002
9700002872,114,0.0001
9700002872,115,0.0004
9700002872,211,0.0001
9700002872,212,0.0021
9700002872,213,0.0003
9700002872,221,0.0008
9700002872,236,0.0007
9700002872,237,0.0004
9700002872,238,0.0005
9700002872,311,0.0001
9700002872,312,0.0001
9700002872,313,0.0003
9700002872,314,0.0006
9700002872,321,0.0003
9700002872,322,0.0002
9700002872,323,0.0009
9700002872,324,0.0007
9700002872,325,0.0001
9700002872,326,0.0014
9700002872,327,0.0002
9700002872,331,0.0001
9700002872,332,0.0007
9700002872,333,0.0003
9700002872,334,0.0002
9700002872,335,0.0006
9700002872,336,0.0
9700002872,337,0.0003
9700002872,339,0.0007
9700002872,423,0.0005
9700002872,424,0.0016
9700002872,425,0.0003
9700002872,441,0.0052
9700002872,443,0.0002
9700002872,444,0.0016
9700002872,445,0.0006
9700002872,446,0.0004
9700002872,447,0.0005
9700002872,448,0.0008
9700002872,451,0.0014
9700002872,452,0.0018
9700002872,453,0.0005
9700002872,454,0.0004
9700002872,481,0.0002
9700002872,482,0.0032
9700002872,483,0.0003
9700002872,484,0.0001
9700002872,485,0.0011
9700002872,486,0.0003
9700002872,487,0.001
9700002872,488,0.0002
9700002872,493,0.0003
9700002872,511,0.001
9700002872,512,0.0015
9700002872,515,0.0015
9700002872,517,0.0012
9700002872,518,0.0003
9700002872,519,0.0003
9700002872,521,0.0001
9700002872,522,0.0035
9700002872,523,0.0001
9700002872,524,0.0001
9700002872,525,0.0031
9700002872,531,0.0004
9700002872,532,0.0004
9700002872,541,0.0
9700002872,551,0.0003
9700002872,561,0.0204
9700002872,562,0.0014
9700002872,611,0.1207
9700002872,621,0.0021
9700002872,622,0.0003
9700002872,623,0.0001
9700002872,624,0.0168
9700002872,711,0.0018
9700002872,712,0.0075
9700002872,713,0.0006
9700002872,721,0.0009
9700002872,722,0.0011
9700002872,811,0.0004
9700002872,812,0.0002
9700002872,813,0.4285
9700002872,814,0.0005
9700002872,921,0.0013
9700002943,112,0.0009
9700002943,113,0.001
